"id","rating","review","comment"
0,"4","Wonderful","Perfect for gifting and best for value money"
1,"5","Best in the market!","Awesome teddy bear ğŸ˜˜ i love it"
2,"5","Brilliant","Great ğŸ˜ƒğŸ‘"
3,"5","Excellent","Superb quality Awesome Product ğŸ‘Œ"
4,"5","Perfect product!","Just beautiful teddy in pink colour. Very soft fabric. And surprisingly it has a zip at back side when you open you can see it has soft white Clean cotton (synthetic cotton). Very nice. You can insert more cotton to it. It's length is near 90 cm."
5,"4","Nice product","Cute teddy bear"
6,"5","Worth every penny","Nice product"
7,"5","Best in the market!","The product is so soft and firr was also of adequate quality . I loved the product, one of the genuine item I received so for."
8,"5","Awesome","Amazing"
9,"5","Excellent","Soo soft and nice ğŸ˜ğŸ˜"
10,"3","Does the job","Size us to small"
11,"5","Terrific","I loved this product my sis had love it this teddy bear is too soft its amazing I love itâ¤â¤"
12,"5","Excellent","Nice"
13,"5","Mind-blowing purchase","I gifted It to my younger sister she loved it too muchğŸ˜ really good product...and also in this budget si budget friendly also"
14,"5","Simply awesome","Soft and smooth"
15,"1","Worst experience ever!","Size is not big"
16,"3","Fair","everything is OK, but cotton is very less ,but I will not return ,,I take cotton from market ,in back jip is given that is best ,,"
17,"5","Fabulous!","Beautiful â¤ï¸ product ğŸ‘ğŸ‘"
18,"5","Simply awesome","Super"
19,"4","Good quality product","Nice"
20,"5","Worth every penny","Good"
21,"5","Must buy!","very good product i like it"
22,"3","Good","Very small size
Not as given in pic
But very soft, so cute, but very thin, not fat, not high, not strong"
23,"5","Mind-blowing purchase","thatâ€™s soo amazing ğŸ˜» app for"
24,"5","Terrific","Very good teddy bear"
25,"5","Terrific","Thank uu flipcart"
26,"5","Worth every penny","Nice teddy but size is small"
27,"5","Just wow!","Nice"
28,"5","Classy product","Thank you Flipkart such a beautiful productğŸ’• its very soft ğŸ˜ worth for money"
29,"4","Worth the money","Product is good
Value for money"
30,"4","Pretty good","Super.. I love it ğŸ¤—ğŸ¤—"
31,"5","Classy product","This product is so cute and large .I like this product very much"
32,"5","Just wow!","Best for this price range"
33,"5","Super!","Nice toy available at good prices than market., It is much larger than my 1 yr old baby.. also cushion quality is nice colour is great and very soft... Best of best"
34,"5","Super!","Good at this price"
35,"5","Terrific","Nice"
36,"5","Great product","Very nice and soft.. really good thanks Flipkart"
37,"1","Unsatisfactory","Very small in size"
38,"5","Fabulous!","Teddy is nice, but little bit small.."
39,"4","Pretty good","My love Happy. ğŸ¥°"
40,"5","Perfect product!","Fablous produt....most Expectable
I love itğŸ˜ğŸ’™"
41,"5","Mind-blowing purchase","Good"
42,"5","Must buy!","Beautiful ğŸ˜ğŸ¥° product ğŸ˜"
43,"4","Pretty good","Good"
44,"3","Just okay","So cute"
45,"5","Awesome","Value for money , not a bad"
46,"1","Terrible product","Too small size"
47,"4","Nice product","It originally like this.. it is good but cotton of it is not more."
48,"4","Nice product","Good."
49,"1","Don't waste your money","Not expecting this one"
50,"5","Perfect product!","it's so good"
51,"4","Nice product","My niece loved ğŸ˜ her gift"
52,"5","Mind-blowing purchase","Very cute teddy"
53,"5","Perfect product!","Soft / cute tedy ğŸ˜ğŸ˜ğŸ˜"
54,"1","Absolute rubbish!","In the order it is small but it is not bod"
55,"5","Classy product","Good Product quality ğŸ‘Œ"
56,"5","Worth every penny","Good product but height is less than expectations."
57,"5","Great product","Too cute"
58,"5","Wonderful","Very nice ğŸ‘"
59,"4","Really Nice","Very niceğŸ‘ğŸ‘
Thank you flipkart ğŸ˜€"
60,"5","Must buy!","Love it"
61,"4","Really Nice","Very Good quality product. Thank you for the product and fast delivery service."
62,"5","Terrific","good product . Thank you flipkart"
63,"3","Nice","Size is too smallğŸ˜£
But quality is good and softğŸ§¸ğŸ¤—
Overall nyc purchase"
64,"4","Nice product","Same product"
65,"1","Absolute rubbish!","In real this is too small.. not justified"
66,"5","Must buy!","Excellent product..must buy."
67,"5","Just wow!","Good"
68,"5","Excellent","Very nice amazing ğŸ¤©"
69,"4","Really Nice","Nice"
70,"5","Awesome","Osm product happy â˜ºï¸â¤ï¸"
71,"5","Best in the market!","Nice ğŸ‘ğŸ‘ğŸ‘"
72,"3","Just okay","First of all, teddy size is not 3 feet it's around 2-2.5 feet, and it looks like the teddy is suffering from malnutrition but okay at Rs.319."
73,"3","Just okay","Ok"
74,"2","Bad quality","I expected that size of this teddy bear big but I disappointed because this teddy bear small."
75,"5","Must buy!","Cute teddyğŸ§¸ ğŸ˜"
76,"5","Super!","Superb"
77,"5","Best in the market!","Awesome product ğŸ‘ŒğŸ‘Œ"
78,"3","Good","Good"
79,"5","Awesome","Really its very nyc â€¦..
Loved it â¤ï¸"
80,"5","Highly recommended","Great product.. Totally satisfied..."
81,"4","Pretty good","Very nice ğŸ‘"
82,"5","Wonderful","Nice product..."
83,"1","Did not meet expectations","The product is of low quality and the size no where matches the claimed size. It's just 2 feet and too skinny."
84,"1","Useless product","Not completely safisfied as the fur will get into kids nose and mouth which can cause allergic."
85,"5","Awesome","Awsm"
86,"5","Excellent","Good"
87,"5","Terrific purchase","Good"
88,"5","Worth every penny","I m happy with it â£ï¸"
89,"5","Terrific purchase","Teddy nice ğŸ˜"
90,"4","Worth the money","Good but Cotan is very less"
91,"5","Brilliant","Wow go for it, i am so happy with flipcart bcz of best price valueabe thing and for first delivery"
92,"4","Good choice","Verry Nice"
93,"5","Highly recommended","Super ğŸ¤©ğŸ¤©ğŸ¤©"
94,"5","Great product","Soft ğŸ§¸& good quality"
95,"5","Wonderful","Very goodğŸ‘ğŸ‘ Teddy"
96,"5","Wonderful","Customer happy ğŸ˜Š"
97,"5","Must buy!","My kids so happy for teddy bear ğŸ§¸ thank you Flipkart"
98,"5","Super!","The teddy is same as shown in the figure.
Very soft and beautiful ğŸ˜.
Must buy product ğŸ‘"
99,"5","Classy product","Nice"